geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,Alicante_hdbscan_5_5
POINT (-0.5182257 38.3418625),Foster's Hollywood,,restaurant,,,,,,,,Foster's Hollywood,,american,-0.5182257,38.3418625,53
POINT (-0.5182482 38.3419986),Phone House,mobile_phone,,,,,,,,,Phone House,,,-0.5182482,38.3419986,53
POINT (-0.4775353 38.3565986),Spar,supermarket,,,,,,,,,Spar,,,-0.4775353,38.3565986,60
POINT (-0.4777906 38.358689),,,cafe,,,,,,,,,,,-0.4777906,38.358689,-1
POINT (-0.4836843 38.3465824),Artespiritu,,bar,,,,,,,,,,,-0.4836843,38.3465824,114
POINT (-0.4768778 38.3572754),,,cafe,,,,,,,,,,,-0.4768778,38.3572754,60
POINT (-0.4886601 38.3464315),Inmobiliaria Casamayor,,,,,estate_agent,,calle Ángel Lozano,17,3001.0,,,,-0.4886601,38.3464315,-1
POINT (-0.4694946 38.3651909),Samarkanda Café & Cocktail Bar,,cafe,,,,,avenida pintor Xavier Soler,,,,,cake;coffee;cocktail,-0.4694946,38.3651909,-1
POINT (-0.469314 38.3670381),Burger King,,fast_food,,,,,,,,Burger King,,burger,-0.469314,38.3670381,70
POINT (-0.4694829 38.3670044),Game,video_games,,,,,,,,,Game,,,-0.4694829,38.3670044,70
POINT (-0.4697297 38.3673808),Pull & Bear,clothes,,,,,,,,,Pull & Bear,,,-0.4697297,38.3673808,70
POINT (-0.4694078 38.3671537),100 Montaditos,,restaurant,,,,,,,,100 Montaditos,,sandwich,-0.4694078,38.3671537,70
POINT (-0.4692201 38.3669266),Foster's Hollywood,,restaurant,,,,,,,,Foster's Hollywood,,american,-0.4692201,38.3669266,70
POINT (-0.4949975 38.346071),Centro Victoria,,,,psychotherapist,,,calle Callosa del Segura,3,3005.0,,,,-0.4949975,38.346071,-1
POINT (-0.4940175 38.3637268),Strength Nutrition,nutrition_supplements,,,,,,Avinguda de Novelda / Avenida de Novelda,66,3010.0,,,,-0.4940175,38.3637268,52
POINT (-0.4922287 38.3448081),José Antonio García Quilez,,pharmacy,,pharmacy,,,calle general Lacy,12,3003.0,,Concepción Canales Mira,,-0.4922287,38.3448081,-1
POINT (-0.4913016 38.3872749),,,pharmacy,,pharmacy,,,plaza de la Constitución,3,3112.0,,Carmen Santa María Moreno,,-0.4913016,38.3872749,8
POINT (-0.4991709 38.3431747),,,pharmacy,,pharmacy,,,avenida de Aguilera,,3006.0,,María Joaquina Barquero Ortiz,,-0.4991709,38.3431747,-1
POINT (-0.5104522 38.3409846),Spar,supermarket,,,,,,,,,Spar,,,-0.5104522,38.3409846,-1
POINT (-0.5097727 38.3453605),Las Lomas,bakery,,,,,,calle Cruz del Sur,10,3006.0,,,,-0.5097727,38.3453605,-1
POINT (-0.5083331 38.346108),Despacho de pan Jaime Zaragoza,bakery,,,,,,calle Lira,20,3006.0,,,,-0.5083331,38.346108,-1
POINT (-0.5094249 38.3453151),Hiperber,supermarket,,,,,,Calle Proción,,,,Hiperber,,-0.5094249,38.3453151,64
POINT (-0.5081842 38.3436121),,,pharmacy,,pharmacy,,,,,,,,,-0.5081842,38.3436121,64
POINT (-0.5118128 38.3449829),,,pharmacy,,pharmacy,,,,,,,,,-0.5118128,38.3449829,63
POINT (-0.5075983 38.3455117),Farmacia Verdú,,pharmacy,,pharmacy,,,,,,,,,-0.5075983,38.3455117,-1
POINT (-0.5089264 38.3436923),Banco Santander,,bank,,,,,,,,Banco Santander,,,-0.5089264,38.3436923,64
POINT (-0.5097687 38.3432968),Suma Gestión Tributaria,,,,,government,,,,,,,,-0.5097687,38.3432968,64
POINT (-0.508881 38.3444143),Caixabank,,bank,,,,,,,,Caixabank,Caixabank,,-0.508881,38.3444143,64
POINT (-0.5088407 38.3462877),Colegio Virgen del Rosario,,school,,,,,,,,,,,-0.5088407,38.3462877,-1
POINT (-0.4806637 38.3445319),Consolat de Bèlgica,,,,,diplomatic,,Explanada de España,1,3002.0,,,,-0.4806637,38.3445319,94
POINT (-0.5000122 38.3699975),Heladería Alacant,,cafe,,,,,VIRGEN DEL PUIG,19,3009.0,,,,-0.5000122,38.3699975,49
POINT (-0.4291461 38.3627382),Espacio Pilates,,,,,,fitness_centre,,,,,,,-0.4291461,38.3627382,-1
POINT (-0.4943435 38.3637846),Dia & Go,convenience,,,,,,,,,Dia & Go,,,-0.4943435,38.3637846,52
POINT (-0.4941792 38.3748348),Farmacia Ortopedia Ciudad Jardín,,pharmacy,,pharmacy,,,,,,,,,-0.4941792,38.3748348,47
POINT (-0.5046268 38.3774585),GMcash,wholesale,,,,,,,,,,,,-0.5046268,38.3774585,18
POINT (-0.4756635 38.3479441),Antonio LLedo,interior_decoration,,,,,,Calle Virgen del Socorro,29,3002.0,,,,-0.4756635,38.3479441,68
POINT (-0.4748321 38.348704),Orizon,,,,,company,,Calle Virgen del Socorro,47,3002.0,,,,-0.4748321,38.348704,68
POINT (-0.4887525 38.3490974),Berlingua Idiomas,,language_school,,,,,Plaza Músico Óscar Tordera Iñesta,3,3004.0,,,,-0.4887525,38.3490974,89
POINT (-0.486197 38.3735957),,,pharmacy,,pharmacy,,,,,,,Juan Antonio Martínez Galipienso,,-0.486197,38.3735957,32
POINT (-0.4904319 38.384994),Pinturas Esvi,paint,,,,,,,,,,,,-0.4904319,38.384994,8
POINT (-0.4670211 38.3636295),Trailingue,,language_school,,,,,calle de los hermanos Álvarez Quintero,5,3015.0,,,,-0.4670211,38.3636295,69
POINT (-0.482506 38.3452653),Alioli,,restaurant,,,,,calle Miguel Soler,12,,,,,-0.482506,38.3452653,-1
POINT (-0.6144406 38.3449486),,convenience,,,,,,,,,,,,-0.6144406,38.3449486,3
POINT (-0.6143038 38.344875),,,cafe,,,,,,,,,,,-0.6143038,38.344875,3
POINT (-0.6147256 38.3451439),,agrarian,,,,,,,,,,,,-0.6147256,38.3451439,3
POINT (-0.6146913 38.3447122),,convenience,,,,,,,,,,,,-0.6146913,38.3447122,3
POINT (-0.6120553 38.3440122),,,cafe,,,,,,,,,,,-0.6120553,38.3440122,3
POINT (-0.4962816 38.340182),"Asociación Vecinal de Benalúa ""El Templete"" / Associació Veïnal de Benalua ""El Templet""",,community_centre,,,,,Plaza del Grupo Escolar de Benalúa,,3007.0,,,,-0.4962816,38.340182,84
POINT (-0.4920855 38.3453098),Fnac,books,,,,,,avenida de la Estación,5-7,,Fnac,,,-0.4920855,38.3453098,-1
POINT (-0.442694 38.3898906),Pro bar,,restaurant,,,,,calle de San Diego,1,3559.0,,,spanish,-0.442694,38.3898906,10
POINT (-0.5060028 38.376372),Cash Quality,supermarket,,,,,,,,,,,,-0.5060028,38.376372,18
POINT (-0.5058968 38.3770553),Retif Alicante,wholesale,,,,,,,,,,,,-0.5058968,38.3770553,18
POINT (-0.5058593 38.3747465),Schmidt Alicante,kitchen,,,,,,,,,Schmidt,,,-0.5058593,38.3747465,18
POINT (-0.5061409 38.3753227),Tiendanimal - Alicante,pet,,,,,,,,,,,,-0.5061409,38.3753227,18
POINT (-0.4796395 38.374589),,kiosk,,,,,,,,,,,,-0.4796395,38.374589,-1
POINT (-0.4276425 38.3645889),Taberna El Chapeau,,restaurant,,,,,Calle Periodista Asuncion Valdes,,3540.0,,,spanish,-0.4276425,38.3645889,-1
POINT (-0.4694517 38.3670788),Jean Louis David,hairdresser,,,,,,,,,Jean Louis David,,,-0.4694517,38.3670788,70
POINT (-0.48489 38.3961932),Kart Villafranqueza,,,,,,sports_centre,,,,,,,-0.48489,38.3961932,-1
POINT (-0.4898472 38.3465648),Daikichi,,restaurant,,,,,calle Segura,1,3004.0,,,japanese,-0.4898472,38.3465648,99
POINT (-0.4959049 38.3657677),,jetski,,,,,,,,,,,,-0.4959049,38.3657677,52
POINT (-0.4961765 38.3656163),,jetski,,,,,,,,,,,,-0.4961765,38.3656163,52
POINT (-0.5061739 38.3667646),Montiel Alonso,,pharmacy,,pharmacy,,,,,,,,,-0.5061739,38.3667646,-1
POINT (-0.4789347 38.3747074),,,post_box,,,,,,,,Correos,Correos,,-0.4789347,38.3747074,-1
POINT (-0.4872888 38.3726991),Telepizza,,fast_food,,,,,,,,Telepizza,,pizza,-0.4872888,38.3726991,32
POINT (-0.4871053 38.3728074),Banco Sabadell,,bank,,,,,,,,Banco Sabadell,,,-0.4871053,38.3728074,32
POINT (-0.4873373 38.3726627),Carnicería Charcutería Nelissa,butcher,,,,,,,,,,,,-0.4873373,38.3726627,32
POINT (-0.4871978 38.3726911),El Rincón de Silvia,,pub,,,,,,,,,,,-0.4871978,38.3726911,32
POINT (-0.4691666 38.364968),Pub Dubai Alicante,,bar,,,,,,,,,,,-0.4691666,38.364968,-1
POINT (-0.4870245 38.3434766),Alma de Barra,,restaurant,,,,,Antonio Galdo Chapuli,15,3001.0,,,fish;local;regional;seafood;spanish,-0.4870245,38.3434766,98
POINT (-0.4891067 38.3418532),La cocina del buen comer,,restaurant,,,,,Calle Alemania,17,,,,spanish;regional,-0.4891067,38.3418532,-1
POINT (-0.5141718 38.3433554),Lavandería Autoservicio Flor de Len,laundry,,,,,,calle Ana Navarro,31,3007.0,,Flor de Len,,-0.5141718,38.3433554,54
POINT (-0.4814465 38.1660243),Hotel Boutique Isla Tabarca,,,hotel,,,,Carrer Arzola / Calle Arzola,2,3138.0,,,,-0.4814465,38.1660243,1
POINT (-0.4139821 38.3732873),Vale,,restaurant,,,,,Avenida de los Países Escandinavos,8,,,,spanish,-0.4139821,38.3732873,-1
POINT (-0.5058714 38.3302741),La mar de arroz,,restaurant,,,,,,,,,,,-0.5058714,38.3302741,43
POINT (-0.4125287 38.3708714),Ferretería Piolo,hardware,,,,,,Avenida de Bruselas,6,,,,,-0.4125287,38.3708714,25
POINT (-0.5610355 38.4011922),La Cañada,convenience,,,,,,,,,,,,-0.5610355,38.4011922,2
POINT (-0.4620425 38.3641871),Centro Médico Quirónsalud Alicante,,clinic,,clinic,,,Carrer de la Creu de Pedra / Calle Cruz de Piedra,4,,,,,-0.4620425,38.3641871,55
POINT (-0.4319972 38.3639982),Ven y peca,,fast_food,,,,,,,,,,pizza,-0.4319972,38.3639982,-1
POINT (-0.4857987 38.3476421),Saona Alicante,,restaurant,,,,,Avenida Alfonso X El Sabio,9,,,,mediterranean,-0.4857987,38.3476421,-1
POINT (-0.4894897 38.3422688),Antón Abogados,,,,,lawyer,,Calle Alemania,25,3003.0,,,,-0.4894897,38.3422688,-1
POINT (-0.5041866 38.349592),Equipo B Airsoft,sports,,,,,,calle padre Recaredo de los Ríos,52,3005.0,,,,-0.5041866,38.349592,50
POINT (-0.4141535 38.3701556),Baobap Exotic,,restaurant,,,,,Avenida Santander,20,3540.0,,,african,-0.4141535,38.3701556,26
POINT (-0.4882769 38.3432397),Miguel Lopez Lawyers,,,,,lawyer,,,,,,,,-0.4882769,38.3432397,98
POINT (-0.4817767 38.3455637),,,restaurant,,,,,,,,,,,-0.4817767,38.3455637,107
POINT (-0.4959135 38.3444633),ALE-HOP,gift,,,,,,,,,ALE-HOP,,,-0.4959135,38.3444633,-1
POINT (-0.4957193 38.3448066),Cafestore,,cafe,,,,,,,,,,,-0.4957193,38.3448066,-1
POINT (-0.4937229 38.3447367),Herbolario Navarro,convenience,,,,,,,,,,,,-0.4937229,38.3447367,102
POINT (-0.4816845 38.3454102),,,restaurant,,,,,,,,,,,-0.4816845,38.3454102,107
POINT (-0.4817154 38.3454723),,,restaurant,,,,,,,,,,,-0.4817154,38.3454723,107
POINT (-0.4167329 38.368371),Altramuz,,restaurant,,,,,,,,,,,-0.4167329,38.368371,-1
POINT (-0.4141641 38.3701582),Baobab,,restaurant,,,,,,,,,,african,-0.4141641,38.3701582,26
POINT (-0.4838142 38.3431843),Terre,,restaurant,,,,,Explanada de España,11,,,,,-0.4838142,38.3431843,-1
POINT (-0.5262813 38.3843039),,,charging_station,,,,,,,,,,,-0.5262813,38.3843039,-1
POINT (-0.4168606 38.3707911),Lemart,hairdresser,,,,,,,,,,,,-0.4168606,38.3707911,23
POINT (-0.4169836 38.3707875),La Rosa Blanca,dry_cleaning,,,,,,,,,,,,-0.4169836,38.3707875,23
POINT (-0.4148912 38.3709706),Keste,,restaurant,,,,,,,,,,italian,-0.4148912,38.3709706,30
POINT (-0.4150297 38.3708018),Tapería Kruna III,,pub,,,,,,,,,,,-0.4150297,38.3708018,30
POINT (-0.4145647 38.3709978),Lavacan,pet_grooming,,,,,,,,,,,,-0.4145647,38.3709978,30
POINT (-0.4153474 38.3707993),La colada,laundry,,,,,,,,,,,,-0.4153474,38.3707993,-1
POINT (-0.415468 38.3707983),El Bahía,,fast_food,,,,,,,,,,kebab,-0.415468,38.3707983,-1
POINT (-0.4139784 38.3708521),Los Charros,,restaurant,,,,,,,,,,,-0.4139784,38.3708521,-1
POINT (-0.4145268 38.3714407),Momoa,,bar,,,,,,,,,,,-0.4145268,38.3714407,-1
POINT (-0.4145098 38.3717727),Karonte,,restaurant,,,,,,,,,,,-0.4145098,38.3717727,31
POINT (-0.414876 38.3716782),Noir,,bar,,,,,,,,,,,-0.414876,38.3716782,31
POINT (-0.4848838 38.3475801),La Tiá Guana Alicant,,restaurant,,,,,,,,,,,-0.4848838,38.3475801,113
POINT (-0.4842308 38.3441467),Bellaterra Ristorante Pizzeria,,restaurant,,,,,Carrer de Cádiz / Calle Cádiz,1,3001.0,,,italian_pizza,-0.4842308,38.3441467,-1
POINT (-0.484789 38.344054),Da Ciro Pizzeria,,restaurant,,,,,calle Castaños,4,3001.0,,,italian_pizza,-0.484789,38.344054,98
POINT (-0.4836172 38.3445089),26 Lounge Bar,,bar,,,,,plaza Portal de Elche,6,3001.0,,,,-0.4836172,38.3445089,117
POINT (-0.4868086 38.3435958),"Salt in Cake - cheesecake, cinnamon roll and cookie",confectionery,,,,,,Carrer de Sant Francesc / Calle San Francisco,61,3001.0,,,,-0.4868086,38.3435958,98
POINT (-0.4868428 38.3436884),Jimmy Churri,,fast_food,,,,,Carrer de Sant Francesc / Calle San Francisco,56,3001.0,,,argentinian,-0.4868428,38.3436884,98
POINT (-0.4863639 38.343466),Mahalo Poké Alicante,,restaurant,,,,,Carrer de Valdés / Calle Valdés,1,3001.0,,,,-0.4863639,38.343466,98
POINT (-0.4851836 38.3446377),Burro Canaglia Bar&Resto -,,restaurant,,,,,Carrer de Castaños / Calle Castaños,7,3001.0,,,italian_pizza,-0.4851836,38.3446377,-1
POINT (-0.4837079 38.3455948),Five Guys,,fast_food,,,,,Rambla de Méndez Núñez,24,3001.0,Five Guys,,burger,-0.4837079,38.3455948,116
POINT (-0.4908418 38.3872657),,variety_store,,,,,,,,,,,,-0.4908418,38.3872657,8
POINT (-0.4868171 38.3707681),Dia Market,supermarket,,,,,,,,,Dia Market,,,-0.4868171,38.3707681,32
POINT (-0.4215927 38.3588841),New House Alicante,,,,,estate_agent,,,,,,,,-0.4215927,38.3588841,20
POINT (-0.5053851 38.3416691),Riansares Romo,hairdresser,,,,,,,,,,,,-0.5053851,38.3416691,62
POINT (-0.5179142 38.3413167),La Ranita,lottery,,,,,,,,,,,,-0.5179142,38.3413167,53
POINT (-0.4813787 38.3448549),Racó,,restaurant,,,,,,,,,,,-0.4813787,38.3448549,-1
POINT (-0.4918548 38.3443873),Joyería Marga Mira,jewelry,,,,,,calle general Lacy,10,3003.0,,,,-0.4918548,38.3443873,-1
POINT (-0.4859207 38.3438767),Vino Y Mas,wine,,,,,,calle San Francisco,32,,,,,-0.4859207,38.3438767,98
POINT (-0.4883048 38.342354),Malatesta,,pub,,,,,avenida doctor Gadea,17,,,,,-0.4883048,38.342354,97
POINT (-0.5311404 38.343996),Medimotors Premium,car,,,,,,,,,Toyota,,,-0.5311404,38.343996,-1
POINT (-0.5316338 38.3439873),Lexus Alicante,car,,,,,,,,,Lexus,,,-0.5316338,38.3439873,-1
POINT (-0.4899968 38.3484321),Kodama,,restaurant,,,,,,,,,,japanese;sushi,-0.4899968,38.3484321,-1
POINT (-0.4794404 38.3451112),Euronet,,atm,,,,,,,,Euronet,Euronet,,-0.4794404,38.3451112,-1
POINT (-0.4794691 38.3451037),Spar,supermarket,,,,,,,,,Spar,,,-0.4794691,38.3451037,-1
POINT (-0.4865441 38.342352),Canalejas,,pharmacy,,pharmacy,,,,,,,,,-0.4865441,38.342352,-1
POINT (-0.4885886 38.3411673),MasyMas Basic,supermarket,,,,,,,,,Mas y Mas,,,-0.4885886,38.3411673,87
POINT (-0.4884276 38.3409065),Mundo Abuelo,medical_supply,,,,,,,,,,,,-0.4884276,38.3409065,87
POINT (-0.4851791 38.3439795),Chico Calla,,restaurant,,,,,calle San Francisco,20,3001.0,,,,-0.4851791,38.3439795,98
POINT (-0.4681933 38.3643418),Clínica Dental Adeslas,,dentist,,dentist,,,,,,,,,-0.4681933,38.3643418,-1
POINT (-0.4869545 38.3441005),Conselleria de Sanitat Universal i Salut Pública,,,,,government,,Calle Gerona / Carrer Girona,26,,,,,-0.4869545,38.3441005,-1
POINT (-0.5074714 38.3301545),HANSTAIGER YACHTS,car_repair,,,,,,Dársena Pesquera,,3007.0,,,,-0.5074714,38.3301545,43
POINT (-0.4954478 38.3480416),Dialprix,supermarket,,,,,,,,,,,,-0.4954478,38.3480416,-1
POINT (-0.4947032 38.348055),Caixabank,,bank,,,,,,,,Caixabank,,,-0.4947032,38.348055,-1
POINT (-0.4955551 38.3481459),Caixabank,,bank,,,,,,,,Caixabank,,,-0.4955551,38.3481459,-1
POINT (-0.4949369 38.3481884),La Feliz,,cafe,,,,,,,,,,pan,-0.4949369,38.3481884,-1
POINT (-0.495536 38.348903),,art,,,,,,,,,,,,-0.495536,38.348903,-1
POINT (-0.491534 38.3419909),LiLi centro de uñas manicura profesional,beauty,,,,,,Calle Reyes Católicos,32,3003.0,,,,-0.491534,38.3419909,103
POINT (-0.4854329 38.3596419),Carnicería Richart,butcher,,,,,,,,,,,,-0.4854329,38.3596419,79
POINT (-0.4852277 38.3596482),Taberna Montaraz,,pub,,,,,,,,,,,-0.4852277,38.3596482,79
POINT (-0.4850145 38.3591897),Centre de Salut Campoamor,,clinic,,,,,,,,,,,-0.4850145,38.3591897,79
POINT (-0.4859398 38.3591865),Banco Sabadell,,bank,,,,,,,,Banco Sabadell,,,-0.4859398,38.3591865,79
POINT (-0.48608 38.3585003),Cervecería Carvi,,pub,,,,,,,,,,,-0.48608,38.3585003,-1
POINT (-0.4853149 38.3554984),Talal,greengrocer,,,,,,,,,,,,-0.4853149,38.3554984,77
POINT (-0.4853323 38.3560548),Segunda mano Douglas,second_hand,,,,,,,,,,,,-0.4853323,38.3560548,-1
POINT (-0.5197594 38.3383915),Talleres D&D Eurotaller,car_repair,,,,,,calle Rosa de los Vientos,2,3008.0,,,,-0.5197594,38.3383915,-1
POINT (-0.4852881 38.3547623),Scanner Service Center samsung,electronics,,,,,,,,,,,,-0.4852881,38.3547623,77
POINT (-0.48528 38.3546203),Mini super 24 horas,convenience,,,,,,,,,,,,-0.48528,38.3546203,77
POINT (-0.4852867 38.3547086),,mobile_phone,,,,,,,,,,,,-0.4852867,38.3547086,77
POINT (-0.4852894 38.3548727),Kaymo Máquinas de Coser,sewing,,,,,,,,,,,,-0.4852894,38.3548727,77
POINT (-0.502817 38.3543123),Metoo Sushi Buffet,,restaurant,,,,,Avenida Doctor Jiménez Díaz,19,3005.0,,,sushi,-0.502817,38.3543123,48
POINT (-0.4908124 38.3425697),Tucán Tatoo,tattoo,,,,,,Calle Portugal,29,3003.0,,,,-0.4908124,38.3425697,-1
POINT (-0.4907118 38.3427264),Shiva,accessories,,,,,,Calle Portugal,40,3003.0,,,,-0.4907118,38.3427264,104
POINT (-0.4930757 38.3411379),Natsu Ramen Bar,,restaurant,,,,,Calle Reyes Católicos,57,3003.0,,,ramen,-0.4930757,38.3411379,88
POINT (-0.4913068 38.3420877),PrimaPrix,department_store,,,,,,Calle Reyes Católicos,28,3003.0,,PEPCO,,-0.4913068,38.3420877,-1
POINT (-0.4913041 38.3419152),Midas Reyes Católicos,car_repair,,,,,,Calle Reyes Católicos,37,3003.0,Midas,,,-0.4913041,38.3419152,-1
POINT (-0.491569 38.3451952),Sichimi Street Sushi Shop,,restaurant,,,,,calle general O'Donnell,17,3003.0,,,sushi,-0.491569,38.3451952,-1
POINT (-0.4709748 38.366786),Restaurante Ying,,restaurant,,,,,plaza alcalde Agatángelo Soler,4,3015.0,,,sushi,-0.4709748,38.366786,70
POINT (-0.4857957 38.3436963),Síndic de Greuges del País Valencià,,,,,government,,calle Pascual Blanco,1,3001.0,,,,-0.4857957,38.3436963,98
POINT (-0.480692 38.3449106),888,variety_store,,,,,,,,,,,,-0.480692,38.3449106,94
POINT (-0.4813856 38.3456239),Plaza 6,,restaurant,,,,,Plaza Santisima Faz,6,3002.0,,,spanish,-0.4813856,38.3456239,107
POINT (-0.4807118 38.3449371),Cashzone,,atm,,,,,,,,,,,-0.4807118,38.3449371,94
POINT (-0.4814108 38.3448735),Asesoría trujillo,,,,,accountant,,Plaza del Ayuntamiento,7,3002.0,,,,-0.4814108,38.3448735,-1
POINT (-0.4811277 38.3456339),Titi gourmet,,restaurant,,,,,Plaza Santisima Faz,8,3002.0,,,spanish,-0.4811277,38.3456339,-1
POINT (-0.4966647 38.351304),Los primos,,restaurant,,,,,Calle de San Juan Bautista,40,3005.0,,,argentinian,-0.4966647,38.351304,76
POINT (-0.6130366 38.3439554),,,cafe,,,,,,,,,,,-0.6130366,38.3439554,3
POINT (-0.6176179 38.3458045),,,restaurant,,,,,,,,,,,-0.6176179,38.3458045,3
POINT (-0.6068246 38.3424344),,,pub,,,,,,,,,,,-0.6068246,38.3424344,3
POINT (-0.4962974 38.3500311),GTS Goblin Trader Alicante,games,,,,,,,,,,,,-0.4962974,38.3500311,76
POINT (-0.4821926 38.3441837),A La Sazón,,restaurant,,,,,San Fernando,16,3002.0,,,mediterranean;spanish;tapas,-0.4821926,38.3441837,-1
POINT (-0.520564 38.2806004),,vacant,,,,,,,,,,,,-0.520564,38.2806004,5
POINT (-0.4864104 38.3437188),El Carrer dels Bolets,,,attraction,,,,Calle San Francisco,67,,,,,-0.4864104,38.3437188,98
POINT (-0.4817805 38.3447334),Euronet,,atm,,,,,,,,,,,-0.4817805,38.3447334,-1
POINT (-0.4829051 38.3443837),Farmacia Samper,,pharmacy,,,,,,,,,,,-0.4829051,38.3443837,115
POINT (-0.4918788 38.374706),Cervecería Miki,,restaurant,,,,,,,,,,regional,-0.4918788,38.374706,47
POINT (-0.5000147 38.3431446),Cafetería J.J.,,cafe,,,,,,,,,,,-0.5000147,38.3431446,-1
POINT (-0.4914931 38.3488762),CIM Formación Alicante,,college,,,,,calle maestro Bretón,13,3004.0,,,,-0.4914931,38.3488762,-1
POINT (-0.4889392 38.3433229),,,post_box,,,,,,,,Correos,Correos,,-0.4889392,38.3433229,104
POINT (-0.4887736 38.3450531),Marel Mujer,clothes,,,,,,,,,,,,-0.4887736,38.3450531,-1
POINT (-0.4886938 38.34494),PC Box,computer,,,,,,,,,,,,-0.4886938,38.34494,-1
POINT (-0.4894421 38.3434038),Vanadi,,cafe,,,,,,,,,,,-0.4894421,38.3434038,-1
POINT (-0.4893328 38.343408),Ulanka,shoes,,,,,,,,,,,,-0.4893328,38.343408,-1
POINT (-0.4892289 38.3434217),Punto Roma,clothes,,,,,,,,,,,,-0.4892289,38.3434217,-1
POINT (-0.4868384 38.3456731),La Pepa,clothes,,,,,,calle del Teatro,22,,,,,-0.4868384,38.3456731,-1
POINT (-0.485791 38.3460239),Malvón,,fast_food,,,,,Plaza Ruperto Chapí,6,3001.0,Malvón,,argentinian;empanada,-0.485791,38.3460239,-1
POINT (-0.486491 38.3456448),Farmacia del Teatro,,pharmacy,,,,,,,,,,,-0.486491,38.3456448,-1
POINT (-0.48585 38.3461549),La Terreta,,restaurant,,,,,,,,,,,-0.48585,38.3461549,-1
POINT (-0.4852431 38.3463211),,,post_box,,,,,,,,Correos,Correos,,-0.4852431,38.3463211,-1
POINT (-0.4919828 38.3399961),Camri,bakery,,,,,,,,,,,,-0.4919828,38.3399961,-1
POINT (-0.4932107 38.3403701),Costa Blanca,,,,,,fitness_centre,,,,,,,-0.4932107,38.3403701,88
POINT (-0.4935349 38.3404318),La Grada,,bar,,,,,,,,,,,-0.4935349,38.3404318,88
POINT (-0.4917968 38.3400709),Real Chicken Food,,restaurant,,,,,,,,,,mexican,-0.4917968,38.3400709,101
POINT (-0.4876069 38.3412727),Fundación mediterraneo,,theatre,,,,,,,,,,,-0.4876069,38.3412727,-1
POINT (-0.4926052 38.3396794),,,pharmacy,,pharmacy,,,,,,,,,-0.4926052,38.3396794,-1
POINT (-0.490439 38.3406968),,,pharmacy,,pharmacy,,,,,,,,,-0.490439,38.3406968,-1
POINT (-0.4900711 38.3396661),Picnic Skate Shop,skate,,,,,,Carrer del Pintor Aparicio / Calle Pintor Aparicio,10,3003.0,,,,-0.4900711,38.3396661,-1
POINT (-0.4886376 38.3408512),,laundry,,,,,,,,,,,,-0.4886376,38.3408512,87
POINT (-0.4928371 38.3405354),,hairdresser,,,,,,,,,,,,-0.4928371,38.3405354,-1
POINT (-0.4926567 38.3406172),Quiquepop,hairdresser,,,,,,,,,,,,-0.4926567,38.3406172,-1
POINT (-0.4924823 38.3406864),,yes,,,,,,,,,,,,-0.4924823,38.3406864,-1
POINT (-0.4917605 38.3402665),,,,,,,fitness_centre,,,,,,,-0.4917605,38.3402665,101
POINT (-0.4916462 38.3401549),,,cafe,,,,,,,,,,,-0.4916462,38.3401549,101
POINT (-0.4927577 38.3414555),Luigi,,restaurant,,,,,,,,,,pizza,-0.4927577,38.3414555,88
POINT (-0.4912643 38.3405068),Copias Italia,stationery,,,,,,,,,,,,-0.4912643,38.3405068,101
POINT (-0.4776011 38.3491113),,gift,,,,,,,,,,,,-0.4776011,38.3491113,67
POINT (-0.4906422 38.3443695),Himalaya,,restaurant,,,,,,,,,,asian,-0.4906422,38.3443695,-1
POINT (-0.4912949 38.3404839),MakinAcción,,,,,company,,Calle Italia,22,3003.0,,,,-0.4912949,38.3404839,101
POINT (-0.4882036 38.3429753),BitBase,,bureau_de_change,,,,,avinguda del Doctor Gadea / avenida doctor Gadea,24,3001.0,,BitBase,,-0.4882036,38.3429753,97
POINT (-0.4926242 38.3482866),Bell's,,fast_food,,,,,,,,,,,-0.4926242,38.3482866,-1
POINT (-0.4973382 38.3513439),Mingot Mercado,convenience,,,,,,,,,,,,-0.4973382,38.3513439,76
POINT (-0.4940302 38.3481026),Alicante Kebab,,fast_food,,,,,,,,,,kebab,-0.4940302,38.3481026,-1
POINT (-0.4944456 38.3463931),Alquiler Seguro,estate_agent,,,,,,,,,,,,-0.4944456,38.3463931,-1
POINT (-0.494564 38.3459402),Suma,supermarket,,,,,,,,,,,,-0.494564,38.3459402,102
POINT (-0.4939254 38.3450319),Yes,,cafe,,,,,,,,,,,-0.4939254,38.3450319,102
POINT (-0.4940622 38.3446004),Kebab Mediterráneo,,fast_food,,,,,,,,,,kebab,-0.4940622,38.3446004,102
POINT (-0.4943931 38.3452945),Nuevo Metro,beauty,,,,,,,,,,,,-0.4943931,38.3452945,102
POINT (-0.4942664 38.345794),Copy,copyshop,,,,,,,,,,,,-0.4942664,38.345794,102
POINT (-0.4944988 38.3461603),Modo Cocinas,kitchen,,,,,,,,,,,,-0.4944988,38.3461603,102
POINT (-0.4946278 38.345719),Ahorro Muebles,furniture,,,,,,,,,,,,-0.4946278,38.345719,102
POINT (-0.4943127 38.3455528),Barber Shop,hairdresser,,,,,,,,,,,,-0.4943127,38.3455528,102
POINT (-0.4933699 38.343919),Haro World,clothes,,,,,,,,,,,,-0.4933699,38.343919,102
