geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Valencia_hdbscan_5_5
POINT (-0.4046252 39.4540338),Falla San Isidro,,,,,association,,Carrer de José Andreu Alabarta,17,46017,,,,-0.4046252,39.4540338,-45043,4392023,falla san isidro,24
POINT (-0.3881977 39.4402105),Falla José Soto Micó Síndico Mocholí,,,,,association,,Carrer del Síndic Mojolí,4,46017,,,,-0.3881977,39.4402105,-43214,4390484,falla josé soto micó síndico mocholí,-1
POINT (-0.3933312 39.4345052),,,pub,,,,,,,,,,,-0.3933312,39.4345052,-43786,4389849,,9
POINT (-0.3799224 39.4751246),MyBaos,,fast_food,,,,,,,,,,chinese,-0.3799224,39.4751246,-42293,4394371,mybaos,187
POINT (-0.3689254 39.4709313),Kiwoko,pet,,,,,,,,,,,,-0.3689254,39.4709313,-41069,4393904,kiwoko,-1
POINT (-0.3686819 39.4705959),Panda Dumplings,,fast_food,,,,,,,,,,chinese,-0.3686819,39.4705959,-41042,4393867,panda dumplings,-1
POINT (-0.3604247 39.4581253),masymas,supermarket,,,,,,,,,masymas,"Juan Fornés Fornés, S.A.",,-0.3604247,39.4581253,-40122,4392479,masymas,-1
POINT (-0.3608485 39.4579493),,,pharmacy,,pharmacy,,,,,,,,,-0.3608485,39.4579493,-40170,4392459,,-1
POINT (-0.3616425 39.45762),BBVA,,bank,,,,,,,,,,,-0.3616425,39.45762,-40258,4392422,bbva,-1
POINT (-0.3628119 39.4581129),,greengrocer,,,,,,,,,,,,-0.3628119,39.4581129,-40388,4392477,,120
POINT (-0.363284 39.4583883),,,pharmacy,,pharmacy,,,,,,,,,-0.363284,39.4583883,-40441,4392508,,120
POINT (-0.3637934 39.4583269),,greengrocer,,,,,,,,,,,,-0.3637934,39.4583269,-40497,4392501,,120
POINT (-0.370114 39.4624128),,laundry,,,,,,,,,,,,-0.370114,39.4624128,-41201,4392956,,-1
POINT (-0.3659187 39.4557844),,,pharmacy,,pharmacy,,,,,,,,,-0.3659187,39.4557844,-40734,4392218,,-1
POINT (-0.3597456 39.4546896),SUMAexpress,supermarket,,,,,,,,,,,,-0.3597456,39.4546896,-40047,4392096,sumaexpress,67
POINT (-0.3597027 39.4550872),,,veterinary,,,,,,,,,,,-0.3597027,39.4550872,-40042,4392140,,67
POINT (-0.3746979 39.485593),Colchonería Vitalbed,bed,,,,,,,,,,,,-0.3746979,39.485593,-41711,4395536,colchonería vitalbed,85
POINT (-0.3715719 39.4849196),Café l'andana,,cafe,,,,,,,,,,,-0.3715719,39.4849196,-41363,4395461,café l'andana,85
POINT (-0.3728633 39.4850989),Bar de Juanito,,bar,,,,,,,,,,,-0.3728633,39.4850989,-41507,4395481,bar de juanito,85
POINT (-0.372066 39.4850624),Corredor de Seguros,,,,,insurance,,,,,,,,-0.372066,39.4850624,-41418,4395477,corredor de seguros,85
POINT (-0.3716522 39.4853356),Amigo Döner Kebab,,restaurant,,,,,,,,,,,-0.3716522,39.4853356,-41372,4395508,amigo döner kebab,85
POINT (-0.3727426 39.4851013),Viva Gym,,,,,,fitness_centre,,,,,,,-0.3727426,39.4851013,-41494,4395481,viva gym,85
POINT (-0.3723842 39.4850828),Bar Luna,,bar,,,,,,,,,,,-0.3723842,39.4850828,-41454,4395479,bar luna,85
POINT (-0.3725786 39.4850848),Gráficas Albarracín,copyshop,,,,,,,,,,,,-0.3725786,39.4850848,-41475,4395480,gráficas albarracín,85
POINT (-0.3303485 39.4670727),Vent de Llevant,,cafe,,,,,Carrer de Just Vilar,38,,,,,-0.3303485,39.4670727,-36774,4393475,vent de llevant,84
POINT (-0.3290931 39.4665347),dormijove,bed,,,,,,Carrer de la Reina,63,,,,,-0.3290931,39.4665347,-36635,4393415,dormijove,84
POINT (-0.3911703 39.4337702),Robert Optics,,,,optometrist,,,Avinguda Real de Madrid,39,,,,,-0.3911703,39.4337702,-43545,4389767,robert optics,9
POINT (-0.3941937 39.4611695),Llibreria Cresol,books,,,,,,Carrer del Músic Barbieri,7,,,,,-0.3941937,39.4611695,-43882,4392817,llibreria cresol,45
POINT (-0.3684243 39.4881883),Farmácia Primado Reig Alfahuir,,pharmacy,,pharmacy,,,Avinguda del Primat Reig,67,,,,,-0.3684243,39.4881883,-41013,4395825,farmácia primado reig alfahuir,52
POINT (-0.3692614 39.4598856),Vestuario laboral,clothes,,,,,,,,,,,,-0.3692614,39.4598856,-41106,4392674,vestuario laboral,142
POINT (-0.3800273 39.4753464),Panem unique,bakery,,,,,,,,,,,,-0.3800273,39.4753464,-42305,4394396,panem unique,187
POINT (-0.3392323 39.453147),Mercury,,restaurant,,,,,Carrer de Suïssa,7,46024,,,,-0.3392323,39.453147,-37763,4391924,mercury,-1
