geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Barcelona_hdbscan_5_5
POINT (2.1892296 41.4318427),Cerrajeros Barcelona - Mikey 24 Horas,locksmith,,,,,,Carrer Gran de Sant Andreu,145,8030.0,,,,2.1892296,41.4318427,243705,4612193,cerrajeros barcelona - mikey 24 horas,-1
POINT (2.1803282 41.408608),Cal pinxo panxo,,bar,,,,,Carrer del Dos de Maig,256,,,,breakfast;burger;coffee_shop;friture;pasta;sandwich;spanish,2.1803282,41.408608,242714,4609606,cal pinxo panxo,457
POINT (2.1628929 41.3773002),Beauty Club,beauty,,,,,,,,,,,,2.1628929,41.3773002,240773,4606121,beauty club,622
POINT (2.1793503 41.3839363),Trigo Coffee,,cafe,,,,,,,,,,,2.1793503,41.3839363,242605,4606860,trigo coffee,-1
POINT (2.1799486 41.3799608),Smash Burger House,,restaurant,,,,,Carrer de Simó Oller,2,,,,,2.1799486,41.3799608,242672,4606417,smash burger house,767
POINT (2.1587297 41.4075885),,,post_box,,,,,,,,,CORREOS,,2.1587297,41.4075885,240310,4609493,,508
POINT (2.1421528 41.3972513),Cuylás Arsenal,clothes,,,,,,Carrer d'Amigó,72,8021.0,,,,2.1421528,41.3972513,238464,4608342,cuylás arsenal,-1
POINT (2.1767719 41.3924703),Bocca di Bonifacio,,restaurant,,,,,Carrer d'Ausiàs Marc,43,,,,italian,2.1767719,41.3924703,242318,4607810,bocca di bonifacio,-1
POINT (2.1844124 41.4633162),Montoro Padre,,pub,,,,,Carrer d'Oristà,5,,,,,2.1844124,41.4633162,243169,4615696,montoro padre,7
POINT (2.1842987 41.4632893),,,pub,,,,,Carrer d'Oristà,5,,,,,2.1842987,41.4632893,243156,4615693,,7
POINT (2.1425226 41.4116576),Mitus Acadèmia d'Art,,arts_centre,,,,,Avinguda de la República Argentina,162,,,,,2.1425226,41.4116576,238506,4609946,mitus acadèmia d'art,180
POINT (2.1985303 41.4011521),SITA,,,,,it,,,,,SITA,,,2.1985303,41.4011521,244740,4608776,sita,-1
POINT (2.1984654 41.4011507),N26,,,,,financial,,,,,N26,,,2.1984654,41.4011507,244733,4608776,n26,-1
POINT (2.1985146 41.4011132),Institut Municipal d'Hisenda de Barcelona,,,,,government,,,,,,Ajuntament de Barcelona,,2.1985146,41.4011132,244739,4608772,institut municipal d'hisenda de barcelona,-1
POINT (2.2034987 41.4420633),Open Cosmos,,,,,company,,Carrer de Maracaibo,1,8030.0,,,,2.2034987,41.4420633,245293,4613330,open cosmos,-1
POINT (2.1814732 41.3840215),Fronda Pasaje BCN,,restaurant,,,,,Carrer dels Banys Vells,20,8003.0,,,,2.1814732,41.3840215,242842,4606869,fronda pasaje bcn,-1
POINT (2.1991063 41.4011307),Socotec,,,,,engineering,,Carrer de la Llacuna,56,8018.0,,,,2.1991063,41.4011307,244805,4608774,socotec,-1
POINT (2.1521693 41.395003),Fiction Express Education,,,,,it,,,,8006.0,,,,2.1521693,41.395003,239579,4608092,fiction express education,-1
POINT (2.1751925 41.3964173),,,charging_station,,,,,,,,,,,2.1751925,41.3964173,242142,4608249,,479
POINT (2.1587764 41.3994916),Almayer Cocktail Bar,,bar,,,,,,,,,,,2.1587764,41.3994916,240315,4608591,almayer cocktail bar,-1
POINT (2.1859601 41.4023481),El Terraceo de Nina,,cafe,,,,,,,,,,,2.1859601,41.4023481,243341,4608909,el terraceo de nina,-1
POINT (2.1336951 41.3773886),TERMA Motors SCP,car_repair,,,,,,Carrer dels Rajolers,31,,,,,2.1336951,41.3773886,237523,4606131,terma motors scp,349
POINT (2.133493 41.3788412),Box Infiniti,storage_rental,,,,,,Carrer de Joan Güell,54,,,,,2.133493,41.3788412,237500,4606293,box infiniti,-1
POINT (2.140124 41.3875666),,,atm,,,,,,,,,CaixaBank,,2.140124,41.3875666,238239,4607264,,-1
POINT (2.1402308 41.3874559),CaixaBank Store,,bank,,,,,Carrer d'Entença,251,,,,,2.1402308,41.3874559,238250,4607252,caixabank store,-1
POINT (2.1415025 41.3863099),Centre Europeu d'Implantologia Oral,,clinic,,,,,Carrer de Breda,"18, 20",,,,,2.1415025,41.3863099,238392,4607124,centre europeu d'implantologia oral,-1
POINT (2.1316829 41.3803879),Pintarama,interior_decoration,,,,,,Avinguda de Madrid,172,,,,,2.1316829,41.3803879,237299,4606465,pintarama,369
POINT (2.1412725 41.3751192),Petjades,shoes,,,,,,Carrer de la Creu Coberta,135,,,,,2.1412725,41.3751192,238366,4605878,petjades,-1
POINT (2.1412206 41.3751202),Temprado,bag,,,,,,Carrer de la Creu Coberta,137,,,,,2.1412206,41.3751202,238361,4605878,temprado,-1
POINT (2.1369205 41.3888974),oh!ffice,stationery,,,,,,Carrer de Deu i Mata,"92, 94",,,,,2.1369205,41.3888974,237882,4607412,oh!ffice,361
POINT (2.1368178 41.3888492),Red Nails,beauty,,,,,,Carrer de Deu i Mata,90,,,,,2.1368178,41.3888492,237871,4607407,red nails,361
POINT (2.1367443 41.3887999),Pecas,,veterinary,,,,,Carrer de Deu i Mata,90,,,,,2.1367443,41.3887999,237862,4607401,pecas,361
POINT (2.1360996 41.3883262),Antonio Perruquers,hairdresser,,,,,,Carrer del Taquígraf Garriga,85,,,,,2.1360996,41.3883262,237791,4607348,antonio perruquers,-1
POINT (2.136016 41.3882743),Vendauto,car_repair,,,,,,Carrer del Taquígraf Garriga,85,,,,,2.136016,41.3882743,237781,4607343,vendauto,-1
POINT (2.1381245 41.3865667),Anytime Fitness,,,,,,fitness_centre,Carrer del Montnegre,"8, 12",,,,,2.1381245,41.3865667,238016,4607153,anytime fitness,374
POINT (2.1420445 41.3817372),Vetpet,,veterinary,,,,,Avinguda de Josep Tarradellas,9,8029.0,,,,2.1420445,41.3817372,238452,4606615,vetpet,338
POINT (2.1331895 41.3755653),Peluts,pet,,,,,,Carrer de Sants,164,,,,,2.1331895,41.3755653,237467,4605928,peluts,356
POINT (2.1330162 41.3755665),Ecodisseny,copyshop,,,,,,Carrer de Sants,170,,,,,2.1330162,41.3755665,237447,4605928,ecodisseny,356
POINT (2.1331344 41.3755562),Gaes,hearing_aids,,,,,,Carrer de Sants,166,,,,,2.1331344,41.3755562,237461,4605927,gaes,356
POINT (2.1324835 41.3755865),Món ibèric,butcher,,,,,,Carrer de Sants,180,,,,,2.1324835,41.3755865,237388,4605930,món ibèric,356
POINT (2.1319231 41.3756547),Culinàrium,kitchen,,,,,,Carrer de Sants,"188, 190",,,,,2.1319231,41.3756547,237326,4605938,culinàrium,356
POINT (2.1218825 41.4000284),Bústia de correus,,post_box,,,,,,,,,,,2.1218825,41.4000284,236208,4608651,bústia de correus,128
POINT (2.1747399 41.3993593),mas musculo,nutrition_supplements,,,,,,Carrer d'Aragó,412,8013.0,,,,2.1747399,41.3993593,242092,4608577,mas musculo,481
POINT (2.1315945 41.3905218),,,post_box,,,,,Carrer de Numància,,,,,,2.1315945,41.3905218,237289,4607593,,174
POINT (2.1294912 41.3868242),Grupo Todoplano,bed,,,,,,Carrer d'Europa,16,,,,,2.1294912,41.3868242,237055,4607181,grupo todoplano,363
POINT (2.1344637 41.3830495),Marta Reig,hairdresser,,,,,,Carrer d'Evarist Arnús,42,,,,,2.1344637,41.3830495,237608,4606761,marta reig,345
POINT (2.1306891 41.3760945),Heima,clothes,,,,,,Rambla del Brasil,8-6,,,,,2.1306891,41.3760945,237188,4605987,heima,-1
POINT (2.1306193 41.3762773),Clínica Albareda,,clinic,,,,,Rambla del Brasil,10,,,,,2.1306193,41.3762773,237181,4606007,clínica albareda,-1
POINT (2.1305495 41.376367),V2 Estilistes,hairdresser,,,,,,Rambla del Brasil,14,8028.0,,,,2.1305495,41.376367,237173,4606017,v2 estilistes,-1
POINT (2.1746103 41.4053275),La Llesca,,restaurant,,,,,Avinguda de Gaudí,12,,,,regional,2.1746103,41.4053275,242078,4609241,la llesca,552
POINT (2.1286442 41.3735183),Charter,supermarket,,,,,,,,,,,,2.1286442,41.3735183,236961,4605700,charter,-1
POINT (2.1697621 41.4012061),CASA CHELI,,restaurant,,,,,Carrer de Roger de Flor,226,,,,mediterranean,2.1697621,41.4012061,241538,4608782,casa cheli,-1
POINT (2.1292719 41.3839401),Interiorisme Insight,interior_decoration,,,,,,Carrer d'Eugeni d'Ors,1,,,,,2.1292719,41.3839401,237031,4606860,interiorisme insight,398
POINT (2.1328158 41.3683392),Hostal Nova Barcelona,,,hotel,,,,Rambla de Badal,64,,,,,2.1328158,41.3683392,237425,4605124,hostal nova barcelona,213
POINT (2.184547 41.4275091),PrimaPrix,supermarket,,,,,,,,,,,,2.184547,41.4275091,243184,4611710,primaprix,-1
POINT (2.1926247 41.4062566),Centre per a la Iniciativa Emprenedora Glòries,,,,,government,,Carrer de la Llacuna,162-164,,,,,2.1926247,41.4062566,244083,4609344,centre per a la iniciativa emprenedora glòries,-1
POINT (2.1701712 41.3810904),La Perla 29 - Teatre La Biblioteca,,theatre,,,,,,,,,,,2.1701712,41.3810904,241583,4606543,la perla 29 - teatre la biblioteca,-1
POINT (2.1904381 41.4055757),Centre de Normalització Linguistica,,language_school,,,,,Gran Via de les Corts Catalanes,866-872,,,,,2.1904381,41.4055757,243840,4609269,centre de normalització linguistica,-1
POINT (2.1397421 41.4121751),Beth's,hairdresser,,,,,,Carrer de Craywinckel,3,,,,,2.1397421,41.4121751,238196,4610003,beth's,183
POINT (2.1394352 41.4119535),Flors Craywinckel,florist,,,,,,Carrer de Craywinckel,9,,,,,2.1394352,41.4119535,238162,4609979,flors craywinckel,183
POINT (2.1395339 41.4122419),Art i Paper,art,,,,,,Carrer de Craywinckel,4,,,,,2.1395339,41.4122419,238173,4610011,art i paper,183
POINT (2.1388775 41.4115373),Burdman,,dentist,,,,,Carrer de Craywinckel,23,,,,,2.1388775,41.4115373,238100,4609932,burdman,183
POINT (2.1405762 41.4117681),Reformas Alberto Nicola,interior_decoration,,,,,,Avinguda de la República Argentina,225,,,,,2.1405762,41.4117681,238289,4609958,reformas alberto nicola,180
POINT (2.1417446 41.4115393),Quimet,butcher,,,,,,Avinguda de la República Argentina,187-189,,,,,2.1417446,41.4115393,238419,4609933,quimet,180
POINT (2.1425319 41.4114253),Farmàcia Pont de Vallcarca,,pharmacy,,,,,Avinguda de la República Argentina,173-175,,,,,2.1425319,41.4114253,238507,4609920,farmàcia pont de vallcarca,180
POINT (2.1418302 41.4115409),Lola,greengrocer,,,,,,Avinguda de la República Argentina,187-189,,,,,2.1418302,41.4115409,238429,4609933,lola,180
POINT (2.1428936 41.4113988),SuperVerd,greengrocer,,,,,,Avinguda de la República Argentina,167-171,,,,,2.1428936,41.4113988,238547,4609917,superverd,180
POINT (2.1617902 41.3920837),Unió de Federacions Esportives de Catalunya,,,,,association,,,,,,,,2.1617902,41.3920837,240650,4607767,unió de federacions esportives de catalunya,-1
POINT (2.1682103 41.383162),Herbolari Llansà,herbalist,,,,,,,,,,,,2.1682103,41.383162,241365,4606774,herbolari llansà,849
POINT (2.1723992 41.4106951),MIR BARBER SHOP,hairdresser,,,,,,,,,,,,2.1723992,41.4106951,241831,4609839,mir barber shop,-1
POINT (2.1706013 41.3817216),The Burger Maker,,fast_food,,,,,,,,,,burger,2.1706013,41.3817216,241631,4606613,the burger maker,769
POINT (2.1704635 41.3816575),The Toast Maker,,restaurant,,,,,,,,,,,2.1704635,41.3816575,241616,4606606,the toast maker,678
POINT (2.1709971 41.3819129),Panda há,,restaurant,,,,,,,,,,,2.1709971,41.3819129,241675,4606635,panda há,769
POINT (2.1710821 41.3819329),El kit-kat,,pub,,,,,,,,,,,2.1710821,41.3819329,241685,4606637,el kit-kat,769
POINT (2.1701971 41.3819085),Inti,tattoo,,,,,,,,,,,,2.1701971,41.3819085,241586,4606634,inti,678
POINT (2.1676749 41.3796021),,supermarket,,,,,,,,,,,,2.1676749,41.3796021,241306,4606377,,568
POINT (2.1709034 41.3818573),,gold_buyer,,,,,,,,,,,,2.1709034,41.3818573,241665,4606628,,769
POINT (2.1703717 41.3816232),Austins heritage diner,,restaurant,,,,,,,,,,american,2.1703717,41.3816232,241606,4606602,austins heritage diner,-1
POINT (2.1898158 41.4365989),Re-Read,books,,,,,,Carrer Gran de Sant Andreu,292,,,,,2.1898158,41.4365989,243770,4612722,re-read,-1
POINT (2.1801169 41.4221476),La Pila de Llibres,books,,,,,,Carrer de Francesc Tàrrega,9,,,,,2.1801169,41.4221476,242691,4611113,la pila de llibres,-1
POINT (2.1993727 41.4004874),Labath,,cafe,,,,,,,,,,,2.1993727,41.4004874,244834,4608702,labath,-1
POINT (2.1991121 41.4003358),Grup Canovas,trade,,,,,,,,,,,,2.1991121,41.4003358,244805,4608685,grup canovas,360
POINT (2.1990467 41.4002771),Mercury,trade,,,,,,,,,,,,2.1990467,41.4002771,244798,4608679,mercury,360
POINT (2.1992235 41.4004094),Local Box,storage_rental,,,,,,,,,,,,2.1992235,41.4004094,244818,4608694,local box,360
POINT (2.1885987 41.378234),La Madrina,,restaurant,,,,,,,,,,,2.1885987,41.378234,243635,4606225,la madrina,191
POINT (2.1889952802174957 41.388104349803186),Parlament de Catalunya,,,,,government,,,,,,,,2.1889952802174957,41.388104349803186,243679,4607324,parlament de catalunya,-1
POINT (2.187049004058593 41.387409272346304),Institut Verdaguer,,school,,,,,,,,,,,2.187049004058593,41.387409272346304,243462,4607246,institut verdaguer,-1
POINT (2.16980171810419 41.38164155899941),Jardins del Doctor Fleming,,,,,,park,,,,,,,2.16980171810419,41.38164155899941,241542,4606604,jardins del doctor fleming,678
POINT (2.1863484675085294 41.388102807465806),Parc de la Ciutadella,,,,,,park,Passeig de Picasso,21,8003.0,,Ajuntament de Barcelona,,2.1863484675085294,41.388102807465806,243384,4607324,parc de la ciutadella,-1
POINT (2.1863174120301387 41.42920634472434),Club Natació Sant Andreu,,,,,,sports_centre,,,,,,,2.1863174120301387,41.42920634472434,243381,4611899,club natació sant andreu,-1
POINT (2.1629424943523996 41.38821546846454),Seminari Major,,university,,,,,Carrer de Balmes,35,,,,,2.1629424943523996,41.38821546846454,240779,4607336,seminari major,-1
POINT (2.1825480697016455 41.39073560566059),Palau de Justícia,,,,,government,,Passeig de Lluís Companys,14-16,,,,,2.1825480697016455,41.39073560566059,242961,4607617,palau de justícia,-1
POINT (2.188886481852631 41.386024001489076),Cigonya,,,attraction,,,,,,,,,,2.188886481852631,41.386024001489076,243667,4607092,cigonya,-1
POINT (2.188979474707999 41.3859020942102),Voltor comú,,,attraction,,,,,,,,,,2.188979474707999,41.3859020942102,243677,4607079,voltor comú,-1
POINT (2.1887050623197095 41.385827019679226),Mufló de l'Atlas,,,attraction,,,,,,,,,,2.1887050623197095,41.385827019679226,243647,4607070,mufló de l'atlas,132
POINT (2.189061495957538 41.388817925398754),Porc espí,,,attraction,,,,,,,,,,2.189061495957538,41.388817925398754,243686,4607403,porc espí,-1
POINT (2.1873421947811016 41.39061559555971),Jaguar,,,attraction,,,,,,,,,,2.1873421947811016,41.39061559555971,243495,4607603,jaguar,146
POINT (2.187186967253674 41.39051151920049),Lleopard de Sri Lanka,,,attraction,,,,,,,,,,2.187186967253674,41.39051151920049,243478,4607592,lleopard de sri lanka,146
POINT (2.171500952427728 41.38593060556315),Parròquia Major de Santa Anna,,place_of_worship,attraction,,,,,,,,,,2.171500952427728,41.38593060556315,241731,4607082,parròquia major de santa anna,-1
POINT (2.166571569079971 41.38369546464749),Centre de Cultura Contemporània de Barcelona,,,museum,,,,Carrer de Montalegre,5,8001.0,,,,2.166571569079971,41.38369546464749,241183,4606833,centre de cultura contemporània de barcelona,-1
POINT (2.176327468591252 41.383092069501785),Palau de la Generalitat de Catalunya,,,attraction,,,,,,,,,,2.176327468591252,41.383092069501785,242269,4606766,palau de la generalitat de catalunya,-1
POINT (2.110528942453415 41.39934348440239),Parc del Castell de l'Oreneta,,,,,,park,,,,,,,2.110528942453415,41.39934348440239,234944,4608575,parc del castell de l'oreneta,-1
POINT (2.1763805571906887 41.383922044213314),Catedral de la Santa Creu i Santa Eulàlia,,place_of_worship,attraction,,,,,,,,,,2.1763805571906887,41.383922044213314,242275,4606858,catedral de la santa creu i santa eulàlia,-1
POINT (2.1771753464480446 41.38402781121293),Arxiu de la Corona d'Aragó,,library,attraction,,government,,,,,,,,2.1771753464480446,41.38402781121293,242363,4606870,arxiu de la corona d'aragó,-1
